lon,lat,treatment_intensity,year,area_m2
34.3325,-0.0225,0-3,2023,1632.0
34.3375,-0.0225,0-3,2016,1648.0
34.3375,-0.0225,0-3,2019,1984.0
34.3375,-0.0225,0-3,2023,2256.0
34.3425,-0.0225,0-3,2016,1152.0
34.3425,-0.0225,0-3,2019,1696.0
34.3425,-0.0225,0-3,2023,1952.0
34.3525,-0.0225,0-3,2016,2400.0
34.3525,-0.0225,0-3,2019,2864.0
34.3525,-0.0225,0-3,2023,2896.0
34.3575,-0.0225,0-3,2016,704.0
34.3575,-0.0225,0-3,2019,944.0
34.3575,-0.0225,0-3,2023,1472.0
34.3625,-0.0225,0-3,2016,16.0
34.3625,-0.0225,0-3,2023,240.0
34.2425,-0.0175,0-3,2016,1328.0
34.2425,-0.0175,0-3,2019,1568.0
34.2425,-0.0175,0-3,2023,2336.0
34.2475,-0.0175,0-3,2016,880.0
34.2475,-0.0175,0-3,2019,1072.0
34.2475,-0.0175,0-3,2023,1568.0
34.2575,-0.0175,10-12,2016,1216.0
34.2575,-0.0175,10-12,2019,1680.0
34.2575,-0.0175,10-12,2023,2192.0
34.2625,-0.0175,4-6,2016,1792.0
34.2625,-0.0175,4-6,2019,2560.0
34.2625,-0.0175,4-6,2023,2832.0
34.2825,-0.0175,7-9,2016,848.0
34.2825,-0.0175,7-9,2019,912.0
34.2825,-0.0175,7-9,2023,1344.0
34.2875,-0.0175,7-9,2016,2192.0
34.2875,-0.0175,7-9,2019,2432.0
34.2875,-0.0175,7-9,2023,2640.0
34.2925,-0.0175,7-9,2016,1200.0
34.2925,-0.0175,7-9,2019,1648.0
34.2925,-0.0175,7-9,2023,1968.0
34.2975,-0.0175,10-12,2016,448.0
34.2975,-0.0175,10-12,2019,496.0
34.2975,-0.0175,10-12,2023,704.0
34.3025,-0.0175,0-3,2016,736.0
34.3025,-0.0175,0-3,2019,1248.0
34.3025,-0.0175,0-3,2023,1232.0
34.3125,-0.0175,0-3,2016,752.0
34.3125,-0.0175,0-3,2019,912.0
34.3125,-0.0175,0-3,2023,1184.0
34.3175,-0.0175,4-6,2016,944.0
34.3175,-0.0175,4-6,2019,1152.0
34.3175,-0.0175,4-6,2023,1424.0
34.3225,-0.0175,0-3,2016,1664.0
34.3225,-0.0175,0-3,2019,2112.0
34.3225,-0.0175,0-3,2023,2576.0
34.3325,-0.0175,0-3,2016,928.0
34.3325,-0.0175,0-3,2019,1824.0
34.3325,-0.0175,0-3,2023,2176.0
34.3375,-0.0175,0-3,2016,1632.0
34.3375,-0.0175,0-3,2019,2112.0
34.3375,-0.0175,0-3,2023,2608.0
34.3425,-0.0175,0-3,2016,2320.0
34.3425,-0.0175,0-3,2019,3120.0
34.3425,-0.0175,0-3,2023,2960.0
34.3475,-0.0175,0-3,2016,2016.0
34.3475,-0.0175,0-3,2019,4720.0
34.3475,-0.0175,0-3,2023,5056.0
34.3525,-0.0175,0-3,2016,2096.0
34.3525,-0.0175,0-3,2019,3712.0
34.3525,-0.0175,0-3,2023,3856.0
34.3575,-0.0175,0-3,2016,1232.0
34.3575,-0.0175,0-3,2019,1616.0
34.3575,-0.0175,0-3,2023,1888.0
34.2375,-0.0125,0-3,2016,2528.0
34.2375,-0.0125,0-3,2019,2848.0
34.2375,-0.0125,0-3,2023,3568.0
34.2425,-0.0125,7-9,2016,1136.0
34.2425,-0.0125,7-9,2019,1216.0
34.2425,-0.0125,7-9,2023,1568.0
34.2475,-0.0125,7-9,2016,560.0
34.2475,-0.0125,7-9,2019,912.0
34.2475,-0.0125,7-9,2023,1312.0
34.2525,-0.0125,0-3,2016,864.0
34.2525,-0.0125,0-3,2019,1280.0
34.2525,-0.0125,0-3,2023,1632.0
34.2825,-0.0125,0-3,2016,992.0
34.2825,-0.0125,0-3,2019,1280.0
34.2825,-0.0125,0-3,2023,1424.0
34.3325,-0.0125,0-3,2016,2160.0
34.3325,-0.0125,0-3,2019,2352.0
34.3325,-0.0125,0-3,2023,2336.0
34.3375,-0.0125,0-3,2016,1712.0
34.3375,-0.0125,0-3,2019,2352.0
34.3375,-0.0125,0-3,2023,2608.0
34.3425,-0.0125,0-3,2016,1696.0
34.3425,-0.0125,0-3,2019,2608.0
34.3425,-0.0125,0-3,2023,4016.0
34.3475,-0.0125,0-3,2016,7504.0
34.3475,-0.0125,0-3,2019,10112.0
34.3475,-0.0125,0-3,2023,11664.0
34.3675,-0.0125,0-3,2016,1376.0
34.3675,-0.0125,0-3,2019,1536.0
34.3675,-0.0125,0-3,2023,2064.0
34.1975,-0.0075,0-3,2016,592.0
34.1975,-0.0075,0-3,2019,672.0
34.1975,-0.0075,0-3,2023,768.0
34.2025,-0.0075,0-3,2016,64.0
34.2025,-0.0075,0-3,2019,64.0
34.2025,-0.0075,0-3,2023,48.0
34.2325,-0.0075,4-6,2016,896.0
34.2325,-0.0075,4-6,2019,1216.0
34.2325,-0.0075,4-6,2023,1216.0
34.2375,-0.0075,7-9,2016,1360.0
34.2375,-0.0075,7-9,2019,1872.0
34.2375,-0.0075,7-9,2023,2720.0
34.2425,-0.0075,4-6,2016,656.0
34.2425,-0.0075,4-6,2019,1088.0
34.2425,-0.0075,4-6,2023,1216.0
34.2475,-0.0075,0-3,2016,1008.0
34.2475,-0.0075,0-3,2019,1456.0
34.2475,-0.0075,0-3,2023,1872.0
34.2875,-0.0075,0-3,2016,320.0
34.2875,-0.0075,0-3,2019,576.0
34.2875,-0.0075,0-3,2023,640.0
34.2925,-0.0075,0-3,2016,752.0
34.2925,-0.0075,0-3,2019,944.0
34.2925,-0.0075,0-3,2023,1328.0
34.2975,-0.0075,0-3,2016,640.0
34.2975,-0.0075,0-3,2019,800.0
